# OPPS TRACKER - COMPLETE PLAYER DATABASE
# Generated: 02/09/2025, 02:10:15
# Discord Bot: OPPS TRACKER
# Total Players: 875
#
# DATABASE STATISTICS:
# - Total Players: 875
# - Royalty RP Only: 566
# - Horizon Only: 301
# - Both Servers: 8
# - Currently Tracked: 4
#
# FORMAT: PlayerName [Server(s)] {TrackingStatus} | First Seen | Last Seen | Total Sightings
# ========================================================================================

Bomper [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 727
bonk [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 469
Boosted Controller Player [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Borgir [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 23
Bosch [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 732
Bozo [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 344
BpLive [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
Brandon [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Bravochick [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 897
brayp [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 23/08/2025 | Sightings: 175
Bronx [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 378
Bruhx [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
bryce [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 207
Brydo [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 3
BubbaBear [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 667
BulletBurster [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 02/09/2025 | Sightings: 285
Bundy79 [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 02/09/2025 | Sightings: 282
